firmList,Industrycode
131845000,10002
29856000,10002
30700000,10002
32163000,10002
42058000,10002
46282000,10002
82169000,10002
124011000,10002
124165000,10002
124178000,10002
124787000,10002
124790000,10002
128364000,10002
128377000,10002
129158000,10002
130371000,10002
130494000,10002
130571000,10002
130679000,10002
130843000,10002
130900000,10002
130955000,10002
131060001,10002
164643000,10002
165195000,10002
20131001,10002
47946000,10002
47979000,10002
48016000,10002
48078000,10002
48080000,10002
48123000,10002
48170000,10002
48175000,10002
48180000,10002
48195000,10002
48196000,10002
48207000,10002
48210000,10002
48236000,10002
48301000,10002
48303000,10002
48305000,10002
48326000,10002
48419000,10002
48468000,10002
48502000,10002
48518000,10002
48559000,10002
48560000,10002
48564000,10002
48568000,10002
48589000,10002
48600000,10002
48660000,10002
48697000,10002
48713000,10002
48726000,10002
48757000,10002
48824000,10002
48827000,10002
48851000,10002
48904000,10002
48907000,10002
48914000,10002
48929000,10002
48946000,10002
48953000,10002
48963000,10002
48976000,10002
49017000,10002
49037000,10002
49041000,10002
49044000,10002
49058000,10002
49065000,10002
49101000,10002
49102000,10002
49165000,10002
49175000,10002
49180000,10002
49181000,10002
49182000,10002
49239000,10002
49248000,10002
49251001,10002
49270000,10002
49313000,10002
49332000,10002
49351000,10002
49376000,10002
49390000,10002
49433000,10002
49442000,10002
49483000,10002
49495000,10002
49511000,10002
49530000,10002
49531000,10002
49564000,10002
49565000,10002
49574000,10002
49624000,10002
49631000,10002
49659000,10002
49664000,10002
49668000,10002
49684000,10002
49695000,10002
49703000,10002
49743001,10002
49865000,10002
49904000,10002
49911000,10002
49937000,10002
49943000,10002
49960000,10002
49974000,10002
50012000,10002
50018000,10002
50029000,10002
50076000,10002
50085000,10002
50087000,10002
50092000,10002
50096000,10002
50104000,10002
50150000,10002
50176000,10002
50251000,10002
50262000,10002
50273000,10002
50335000,10002
50336000,10002
50346000,10002
50371000,10002
50373000,10002
50400000,10002
50407000,10002
50408000,10002
50419000,10002
50430000,10002
50452001,10002
50471000,10002
50505000,10002
50524000,10002
50529000,10002
50555000,10002
50577000,10002
50585000,10002
50591000,10002
50611000,10002
50613000,10002
50703000,10002
50763000,10002
50797000,10002
50816000,10002
50852000,10002
50854000,10002
50875000,10002
50881000,10002
50918000,10002
50940000,10002
50999000,10002
51123000,10002
51139000,10002
51142000,10002
51166000,10002
51167000,10002
51183000,10002
51185000,10002
51192000,10002
51200000,10002
51204000,10002
51213000,10002
51216000,10002
51244000,10002
51261000,10002
51288000,10002
51289000,10002
51325000,10002
51400000,10002
51410000,10002
51412000,10002
51414000,10002
51443000,10002
51448000,10002
51454000,10002
51459000,10002
51485000,10002
51541000,10002
51543000,10002
51575000,10002
51599000,10002
51611000,10002
51665000,10002
51671000,10002
51693000,10002
51717000,10002
51765000,10002
51784000,10002
51801000,10002
51805000,10002
51821000,10002
51822000,10002
51847000,10002
51860000,10002
51876000,10002
51914000,10002
51927000,10002
51937000,10002
51964000,10002
51984001,10002
52007000,10002
52016000,10002
52026000,10002
52055000,10002
52082000,10002
52181000,10002
52204000,10002
52207000,10002
52220000,10002
52241000,10002
52251000,10002
52386000,10002
52404000,10002
52440001,10002
52449000,10002
52482000,10002
52483000,10002
52500000,10002
52603000,10002
52605000,10002
52608000,10002
52611000,10002
52614000,10002
52631000,10002
52650000,10002
52659000,10002
52711000,10002
52800000,10002
52802000,10002
52808001,10002
52881000,10002
52892000,10002
53010000,10002
53203000,10002
53213000,10002
53271000,10002
53488000,10002
53580000,10002
53600000,10002
53622000,10002
53648000,10002
53658000,10002
53666000,10002
53668000,10002
53721000,10002
53736000,10002
53751000,10002
53762000,10002
53763000,10002
53853000,10002
53886000,10002
53889000,10002
53903000,10002
53904000,10002
53932000,10002
54026000,10002
54051000,10002
54073000,10002
54108000,10002
54142000,10002
54161000,10002
54169000,10002
54216000,10002
54223000,10002
54255000,10002
54275000,10002
54309000,10002
54312000,10002
54334000,10002
54350000,10002
54383000,10002
54411000,10002
55055000,10002
58092000,10002
78726000,10002
78731000,10002
84245000,10002
87153000,10002
87731000,10002
89215000,10002
92069000,10002
92267000,10002
92949000,10002
93031000,10002
93047000,10002
93051000,10002
65103000,10002
60668000,10002
77472000,10002
93841000,10002
