firmList,Industrycode
36991000,10003
39137000,10003
46614000,10003
125239000,10003
130956000,10003
164938000,10003
165284000,10003
47952000,10003
47963000,10003
47972000,10003
48020000,10003
48149000,10003
48481000,10003
48645000,10003
49007000,10003
49241000,10003
49300000,10003
49331000,10003
49580000,10003
49591000,10003
49883000,10003
49940000,10003
49952000,10003
50095000,10003
50148000,10003
50543000,10003
50548000,10003
50602000,10003
50633000,10003
50670000,10003
50780000,10003
50813000,10003
50856000,10003
50900000,10003
51227000,10003
51695000,10003
52129000,10003
52434000,10003
52708000,10003
52768000,10003
52857000,10003
53627000,10003
53829000,10003
53937000,10003
53944000,10003
53953000,10003
54001000,10003
54004000,10003
54200000,10003
54375000,10003
92295000,10003
92551000,10003
93860001,10003
