firmList,Industrycode
34114000,10004
47706000,10004
51498001,10004
124141000,10004
128679000,10004
130043000,10004
130140000,10004
130774000,10004
131778000,10004
48060000,10004
48118000,10004
48153000,10004
48172000,10004
48223000,10004
48254000,10004
48411000,10004
48446000,10004
48553000,10004
48572000,10004
48615000,10004
48714000,10004
48820000,10004
49057000,10004
49304000,10004
49309000,10004
49333000,10004
49387000,10004
49397000,10004
49438000,10004
49838000,10004
49913000,10004
49935000,10004
50158000,10004
50193000,10004
50367001,10004
50757000,10004
50825000,10004
51374000,10004
51868000,10004
51997000,10004
52218000,10004
52618000,10004
52710000,10004
52830000,10004
53092000,10004
53204000,10004
53240000,10004
53355000,10004
53377000,10004
53578000,10004
53693000,10004
53712000,10004
53743000,10004
54060000,10004
54107000,10004
54287000,10004
54377000,10004
54414000,10004
55075000,10004
92066000,10004
92087000,10004
92091000,10004
92279000,10004
92303000,10004
92317000,10004
93180000,10004
61806000,10004
