firmList,Industrycode
164186000,10005
32529000,10005
32548000,10005
32678000,10005
48022001,10005
124179000,10005
124879000,10005
125199000,10005
130556000,10005
130569000,10005
133577000,10005
164169000,10005
164427000,10005
48003000,10005
48052000,10005
48090000,10005
48110000,10005
48166000,10005
48297000,10005
48306000,10005
48472000,10005
48507000,10005
48570000,10005
48731000,10005
48735000,10005
48740000,10005
48753000,10005
48865000,10005
48982000,10005
49141000,10005
49196000,10005
49379000,10005
49404000,10005
49411000,10005
49467000,10005
49484000,10005
49487000,10005
49552000,10005
49623000,10005
49793000,10005
49851000,10005
50033000,10005
50067000,10005
50189000,10005
50291000,10005
50600000,10005
50608000,10005
50697000,10005
50726000,10005
50787000,10005
50871000,10005
50953000,10005
51011000,10005
51027000,10005
51143000,10005
51202000,10005
51315000,10005
51362000,10005
51537000,10005
51869000,10005
51888001,10005
51898000,10005
51912001,10005
51923000,10005
51975000,10005
52086000,10005
52105000,10005
52123000,10005
52148000,10005
52183000,10005
52293000,10005
52310000,10005
52331000,10005
52401000,10005
52402000,10005
52496000,10005
52716000,10005
52818000,10005
52968000,10005
53074000,10005
53164000,10005
53199000,10005
53448000,10005
53511000,10005
53553000,10005
53564000,10005
53612000,10005
53804000,10005
53807000,10005
53863000,10005
53918000,10005
53965000,10005
54196000,10005
54203000,10005
54305000,10005
54335000,10005
54781000,10005
89220000,10005
92065000,10005
92075000,10005
92078000,10005
92083000,10005
92092000,10005
92262000,10005
92277000,10005
92304000,10005
92480000,10005
93000000,10005
93644000,10005
93747000,10005
93849000,10005
60426000,10005
89372000,10005
