firmList,Industrycode
128824000,10007
124770001,10007
32830000,10007
47773000,10007
128582000,10007
128883000,10007
129142000,10007
129464000,10007
130435000,10007
130599000,10007
130719000,10007
131352000,10007
131719000,10007
163009000,10007
163540000,10007
163738000,10007
164621000,10007
164755000,10007
165188000,10007
47983000,10007
48008000,10007
48013000,10007
48018000,10007
48028000,10007
48075000,10007
48087000,10007
48112000,10007
48113000,10007
48126000,10007
48140000,10007
48182000,10007
48455000,10007
48467000,10007
48545000,10007
48595000,10007
48657000,10007
48786000,10007
48788000,10007
48873000,10007
48896000,10007
49031000,10007
49032000,10007
49066000,10007
49228000,10007
49244000,10007
49345000,10007
49482000,10007
49568000,10007
49592000,10007
49663000,10007
49682000,10007
49708000,10007
49716000,10007
49735000,10007
49767000,10007
49774000,10007
49953000,10007
50004001,10007
50051000,10007
50184000,10007
50293000,10007
50406000,10007
50409000,10007
50415000,10007
50488000,10007
50579000,10007
50605000,10007
50619000,10007
50679000,10007
50760000,10007
50796000,10007
50877000,10007
51102000,10007
51194000,10007
51197000,10007
51206000,10007
51228000,10007
51232000,10007
51265000,10007
51338000,10007
51343000,10007
51370000,10007
51390000,10007
51452000,10007
51472000,10007
51527000,10007
51605000,10007
51617000,10007
51643000,10007
51666000,10007
51677000,10007
51883000,10007
51887000,10007
51902001,10007
52090000,10007
52125000,10007
52177000,10007
52259000,10007
52328000,10007
52348000,10007
52383000,10007
52543000,10007
52578000,10007
52589000,10007
52834000,10007
52837000,10007
52930000,10007
52966000,10007
53027000,10007
53035001,10007
53099000,10007
53224000,10007
53228000,10007
53267000,10007
53372000,10007
53417000,10007
53434000,10007
53472000,10007
53597000,10007
53681000,10007
53700000,10007
53710000,10007
53738000,10007
53806000,10007
53812000,10007
53826000,10007
53828000,10007
53866000,10007
53885000,10007
53992000,10007
54011000,10007
54220000,10007
54238000,10007
54290000,10007
54321000,10007
54373000,10007
54392000,10007
54761000,10007
58461000,10007
58462000,10007
89217000,10007
92093000,10007
92268000,10007
92271000,10007
92272000,10007
92273000,10007
92290000,10007
92291000,10007
92296000,10007
92300000,10007
92301000,10007
92302000,10007
92310000,10007
92311000,10007
92318000,10007
92462000,10007
93052000,10007
93174000,10007
93768000,10007
93802000,10007
70788000,10007
