firmList,Industrycode
163039000,10008
163460000,10008
164402000,10008
30845000,10008
31377000,10008
32681000,10008
34477000,10008
34719000,10008
34858000,10008
38741000,10008
39090000,10008
39911000,10008
45122000,10008
45585000,10008
45610000,10008
45635000,10008
45692000,10008
45743000,10008
45773000,10008
46856000,10008
124917000,10008
125214000,10008
128549000,10008
128624000,10008
128874000,10008
129761000,10008
130321000,10008
130328000,10008
130399000,10008
130478000,10008
130696000,10008
130887000,10008
131591000,10008
131667000,10008
131795000,10008
131878000,10008
131879000,10008
131880000,10008
133683000,10008
133684000,10008
163066000,10008
163109000,10008
163111000,10008
163369000,10008
164451000,10008
48030000,10008
48073000,10008
48084000,10008
48121000,10008
48188000,10008
48211000,10008
48214000,10008
48222000,10008
48251000,10008
48386000,10008
48387000,10008
48406000,10008
48413000,10008
48524000,10008
48556000,10008
48632000,10008
48715000,10008
48741000,10008
48833000,10008
48840000,10008
48912000,10008
48993000,10008
49092000,10008
49110000,10008
49161000,10008
49276000,10008
49381000,10008
49471000,10008
49535000,10008
49549000,10008
49651000,10008
49653000,10008
49678000,10008
49763000,10008
49764000,10008
49780000,10008
49890000,10008
49928000,10008
50147000,10008
50152000,10008
50195000,10008
50213000,10008
50259000,10008
50692000,10008
50908000,10008
50951000,10008
50995000,10008
51015000,10008
51036000,10008
51055000,10008
51056000,10008
51251000,10008
51256000,10008
51428000,10008
51517000,10008
51548000,10008
51583000,10008
51783000,10008
51881000,10008
52046000,10008
52093000,10008
52316000,10008
52320000,10008
52329000,10008
52360000,10008
52382000,10008
52492000,10008
52719000,10008
52847000,10008
52978000,10008
53012000,10008
53089000,10008
53156000,10008
53200000,10008
53286000,10008
53315000,10008
53393000,10008
53399000,10008
53458000,10008
53611000,10008
53663000,10008
53665000,10008
53716000,10008
53808000,10008
53842000,10008
53855000,10008
53906000,10008
53917000,10008
53922000,10008
53941000,10008
53967000,10008
54006000,10008
54047000,10008
54059000,10008
54090000,10008
54145000,10008
54162000,10008
54194000,10008
54218000,10008
54249000,10008
54376000,10008
54430000,10008
54431000,10008
55051000,10008
92071000,10008
92073000,10008
92085000,10008
92263000,10008
93861000,10008
64294000,10008
164220000,10008
69928000,10008
76865000,10008
77710000,10008
73812000,10008
