firmList,Industrycode
17864000,10013
33807000,10013
45355000,10013
128536000,10013
131755000,10013
133608000,10013
164681000,10013
48117000,10013
48370000,10013
48604000,10013
50476000,10013
50477000,10013
50801000,10013
51050000,10013
51829000,10013
51873000,10013
51960000,10013
52023000,10013
52339000,10013
52835001,10013
52939000,10013
52984000,10013
53188000,10013
53278000,10013
53325000,10013
53326000,10013
53444000,10013
53626000,10013
53706000,10013
54019000,10013
54138000,10013
54330000,10013
92084000,10013
93616000,10013
93636000,10013
